Latitude	Longitude	Year	Month	Time	GS	Customers	Country
52.219806	5.497712	2022	5	2022-05-01	344.7316	1	All
51.594425	4.696698	2022	6	2022-06-01	350.8205	2	All
64.411645	24.31021	2022	2	2022-02-01	791.4396	3	All
47.459006	9.583937	2022	4	2022-04-01	129.36	1	CH
46.91427	15.36512	2022	11	2022-11-01	651.7506	1	All
52.899191	10.165444	2022	2	2022-02-01	175.075	1	DE
61.575651	21.524748	2022	12	2022-12-01	856.0221	3	All
51.823993	4.888239	2022	12	2022-12-01	677.0248	1	NL
51.785453	4.476286	2022	10	2022-10-01	88.8785	1	All
51.847838	5.964181	2022	3	2022-03-01	359.9997	1	All
57.566699	12.083299	2023	1	2023-01-01	4015.0569	4	SE
52.365165	5.197526	2022	2	2022-02-01	172.3185	1	All
68.1088	13.590299	2022	6	2022-06-01	4784.6344	7	NO
49.822733	0.917982	2022	11	2022-11-01	232.738	1	FR
40.453288	-4.003842	2022	6	2022-06-01	553.982	2	All
47.834736	8.347553	2022	10	2022-10-01	187.5165	1	All
52.209542	5.302238	2022	5	2022-05-01	307.7893	1	NL
50.38962	4.51474	2022	8	2022-08-01	646.0439	3	BE
51.88384	6.299447	2022	9	2022-09-01	400.6982	1	NL
69.083299	17.183299	2022	3	2022-03-01	1147.8656	2	NO
51.070925	9.395851	2022	8	2022-08-01	5426.457	8	All
53.027529	5.680584	2022	2	2022-02-01	1216.1322	1	NL
60.4908	5.2675	2022	3	2022-03-01	13821.5224	17	All
52.767066	6.958827	2022	2	2022-02-01	183.121	1	All
60.434662	22.25668	2022	4	2022-04-01	11976.5602	28	FI
47.028794	15.426072	2022	10	2022-10-01	13640.4228	19	AT
52.614422	4.822486	2022	10	2022-10-01	77.5776	1	All
47.454141	8.053607	2022	5	2022-05-01	583.66	1	CH
51.924173	8.448768	2022	4	2022-04-01	7404.4076	13	All
48.027505	8.602953	2022	12	2022-12-01	1151.2485	3	DE
47.174412	7.598003	2022	5	2022-05-01	1589.07	4	CH
45.480481	12.02987	2022	2	2022-02-01	476.204	2	IT
50.282463	11.894649	2022	9	2022-09-01	826.211	2	DE
53.173765	5.426816	2022	7	2022-07-01	430.9288	1	All
51.509227	7.244197	2022	4	2022-04-01	4330.4933	11	DE
40.480332	-3.369251	2022	12	2022-12-01	1375.6425	4	ES
50.943509	8.139171	2022	7	2022-07-01	5416.7326	11	All
40.676625	14.784622	2022	12	2022-12-01	586.166	2	IT
51.911308	4.512132	2022	6	2022-06-01	246.2225	1	NL
66.515284	25.785165	2023	1	2023-01-01	6169.9916	5	FI
50.497623	10.214613	2022	12	2022-12-01	1251.898	2	All
47.653251	8.650708	2022	4	2022-04-01	1173.2	2	CH
47.513743	8.640845	2022	12	2022-12-01	1870.75	2	CH
49.478833	9.173514	2022	2	2022-02-01	175.224	1	DE
51.601698	6.007987	2022	11	2022-11-01	245.9729	1	NL
47.883928	12.593002	2022	12	2022-12-01	535.0843	1	All
52.247067	6.14543	2022	6	2022-06-01	246.2225	1	All
63.546443	29.092092	2022	5	2022-05-01	2117.7547	4	All
46.095028	6.494469	2022	2	2022-02-01	372.4255	1	FR
51.987968	10.937635	2022	5	2022-05-01	1263.9834	2	DE
50.13549	4.74516	2023	1	2023-01-01	824.7895	3	All
44.435218	11.993116	2022	5	2022-05-01	122.1055	1	All
52.391721	5.236041	2022	8	2022-08-01	336.1709	1	All
52.328761	5.605697	2023	1	2023-01-01	166.2095	1	All
50.66443	5.46097	2022	3	2022-03-01	246.148	1	BE
51.942507	5.883953	2022	12	2022-12-01	430.9296	1	NL
53.493702	9.56935	2023	1	2023-01-01	2675.4589	4	All
47.969451	10.265996	2023	1	2023-01-01	1076.525	2	All
41.384247	2.176349	2022	9	2022-09-01	2922.8585	10	All
48.562933	8.024421	2022	9	2022-09-01	3335.6124	5	All
47.268667	8.064277	2022	2	2022-02-01	876.19	2	CH
51.879904	5.846703	2022	4	2022-04-01	597.1064	1	All
52.445021	4.802833	2022	7	2022-07-01	123.074	1	All
52.103002	6.65344	2022	11	2022-11-01	615.5786	1	All
